ref_area,indicator,source,classif1,classif2,time,obs_value,note_indicator,note_source
ARM,FOW_TVOL_AGE_VOL_RT,BA:867,AGE_AGGREGATE_TOTAL,VOL_TYPE_TOTAL,2019,10.7,I33:5717,S16:5840
ARM,FOW_TVOL_AGE_VOL_RT,BA:867,AGE_AGGREGATE_Y15-24,VOL_TYPE_TOTAL,2019,8.1,I33:5717,S16:5840
ARM,FOW_TVOL_AGE_VOL_RT,BA:867,AGE_AGGREGATE_Y25-64,VOL_TYPE_TOTAL,2019,12.4,I33:5717,S16:5840
ARM,FOW_TVOL_AGE_VOL_RT,BA:867,AGE_AGGREGATE_YGE65,VOL_TYPE_TOTAL,2019,5.7,I33:5717,S16:5840
ARM,FOW_TVOL_AGE_VOL_RT,BA:867,AGE_AGGREGATE_TOTAL,VOL_TYPE_TOTAL,2018,10.2,I33:5717,S16:5840
ARM,FOW_TVOL_AGE_VOL_RT,BA:867,AGE_AGGREGATE_Y15-24,VOL_TYPE_TOTAL,2018,8.4,I33:5717,S16:5840
ARM,FOW_TVOL_AGE_VOL_RT,BA:867,AGE_AGGREGATE_Y25-64,VOL_TYPE_TOTAL,2018,11.6,I33:5717,S16:5840
ARM,FOW_TVOL_AGE_VOL_RT,BA:867,AGE_AGGREGATE_YGE65,VOL_TYPE_TOTAL,2018,5.3,I33:5717,S16:5840
AUS,FOW_TVOL_AGE_VOL_RT,AA:876,AGE_AGGREGATE_TOTAL,VOL_TYPE_ORG,2016,19,I33:5716,S16:5832
AUS,FOW_TVOL_AGE_VOL_RT,AA:876,AGE_AGGREGATE_Y15-24,VOL_TYPE_ORG,2016,18.5,I33:5716,S16:5832
AUS,FOW_TVOL_AGE_VOL_RT,AA:876,AGE_AGGREGATE_Y25-64,VOL_TYPE_ORG,2016,19.4,I33:5716,S16:5832
AUS,FOW_TVOL_AGE_VOL_RT,AA:876,AGE_AGGREGATE_YGE65,VOL_TYPE_ORG,2016,18.2,I33:5716,S16:5832
AUT,FOW_TVOL_AGE_VOL_RT,BB:275,AGE_AGGREGATE_TOTAL,VOL_TYPE_ORG,2015,28.3,,S16:5832_T2:85
AUT,FOW_TVOL_AGE_VOL_RT,BB:275,AGE_AGGREGATE_TOTAL,VOL_TYPE_DIRECT,2015,28.3,,S16:5832_T2:85
AUT,FOW_TVOL_AGE_VOL_RT,BB:275,AGE_AGGREGATE_Y15-24,VOL_TYPE_ORG,2015,31.5,,S16:5832_T2:85
AUT,FOW_TVOL_AGE_VOL_RT,BB:275,AGE_AGGREGATE_Y15-24,VOL_TYPE_DIRECT,2015,28.6,,S16:5832_T2:85
AUT,FOW_TVOL_AGE_VOL_RT,BB:275,AGE_AGGREGATE_Y25-64,VOL_TYPE_ORG,2015,30.1,,S16:5832_T2:85
AUT,FOW_TVOL_AGE_VOL_RT,BB:275,AGE_AGGREGATE_Y25-64,VOL_TYPE_DIRECT,2015,29.8,,S16:5832_T2:85
AUT,FOW_TVOL_AGE_VOL_RT,BB:275,AGE_AGGREGATE_YGE65,VOL_TYPE_ORG,2015,20.8,,S16:5832_T2:85
AUT,FOW_TVOL_AGE_VOL_RT,BB:275,AGE_AGGREGATE_YGE65,VOL_TYPE_DIRECT,2015,23.3,,S16:5832_T2:85
BEL,FOW_TVOL_AGE_VOL_RT,BB:276,AGE_AGGREGATE_TOTAL,VOL_TYPE_ORG,2015,20.4,,S16:5832_T2:85
BEL,FOW_TVOL_AGE_VOL_RT,BB:276,AGE_AGGREGATE_TOTAL,VOL_TYPE_DIRECT,2015,20.8,,S16:5832_T2:85
BEL,FOW_TVOL_AGE_VOL_RT,BB:276,AGE_AGGREGATE_Y15-24,VOL_TYPE_ORG,2015,20.3,,S16:5832_T2:85
BEL,FOW_TVOL_AGE_VOL_RT,BB:276,AGE_AGGREGATE_Y15-24,VOL_TYPE_DIRECT,2015,17.3,,S16:5832_T2:85
BEL,FOW_TVOL_AGE_VOL_RT,BB:276,AGE_AGGREGATE_Y25-64,VOL_TYPE_ORG,2015,20.9,,S16:5832_T2:85
BEL,FOW_TVOL_AGE_VOL_RT,BB:276,AGE_AGGREGATE_Y25-64,VOL_TYPE_DIRECT,2015,21.5,,S16:5832_T2:85
BEL,FOW_TVOL_AGE_VOL_RT,BB:276,AGE_AGGREGATE_YGE65,VOL_TYPE_ORG,2015,18.8,,S16:5832_T2:85
BEL,FOW_TVOL_AGE_VOL_RT,BB:276,AGE_AGGREGATE_YGE65,VOL_TYPE_DIRECT,2015,20.9,,S16:5832_T2:85
BGR,FOW_TVOL_AGE_VOL_RT,BB:3058,AGE_AGGREGATE_TOTAL,VOL_TYPE_ORG,2015,5.2,,S16:5832_T2:85
BGR,FOW_TVOL_AGE_VOL_RT,BB:3058,AGE_AGGREGATE_TOTAL,VOL_TYPE_DIRECT,2015,6.3,,S16:5832_T2:85
BGR,FOW_TVOL_AGE_VOL_RT,BB:3058,AGE_AGGREGATE_Y15-24,VOL_TYPE_ORG,2015,6.1,,S16:5832_T2:85
BGR,FOW_TVOL_AGE_VOL_RT,BB:3058,AGE_AGGREGATE_Y15-24,VOL_TYPE_DIRECT,2015,8.2,,S16:5832_T2:85
BGR,FOW_TVOL_AGE_VOL_RT,BB:3058,AGE_AGGREGATE_Y25-64,VOL_TYPE_ORG,2015,5.9,,S16:5832_T2:85
BGR,FOW_TVOL_AGE_VOL_RT,BB:3058,AGE_AGGREGATE_Y25-64,VOL_TYPE_DIRECT,2015,7.1,,S16:5832_T2:85
BGR,FOW_TVOL_AGE_VOL_RT,BB:3058,AGE_AGGREGATE_YGE65,VOL_TYPE_ORG,2015,3,,S16:5832_T2:85
BGR,FOW_TVOL_AGE_VOL_RT,BB:3058,AGE_AGGREGATE_YGE65,VOL_TYPE_DIRECT,2015,3.3,,S16:5832_T2:85
CAN,FOW_TVOL_AGE_VOL_RT,BX:15662,AGE_AGGREGATE_TOTAL,VOL_TYPE_TOTAL,2018,79.4,,S16:5832
CAN,FOW_TVOL_AGE_VOL_RT,BX:15662,AGE_AGGREGATE_TOTAL,VOL_TYPE_ORG,2018,41.1,,S16:5832
CAN,FOW_TVOL_AGE_VOL_RT,BX:15662,AGE_AGGREGATE_TOTAL,VOL_TYPE_DIRECT,2018,73.6,,S16:5832
CAN,FOW_TVOL_AGE_VOL_RT,BX:15662,AGE_AGGREGATE_Y15-24,VOL_TYPE_TOTAL,2018,79.4,,S16:5832
