Category: All categories

Month,civil society: (Worldwide)
2004-01,75
2004-02,85
2004-03,99
2004-04,80
2004-05,100
2004-06,71
2004-07,58
2004-08,72
2004-09,68
2004-10,74
2004-11,89
2004-12,71
2005-01,67
2005-02,82
2005-03,81
2005-04,73
2005-05,76
2005-06,70
2005-07,56
2005-08,60
2005-09,59
2005-10,65
2005-11,74
2005-12,58
2006-01,58
2006-02,69
2006-03,65
2006-04,65
2006-05,57
2006-06,45
2006-07,40
2006-08,45
2006-09,46
2006-10,56
2006-11,54
2006-12,44
2007-01,43
2007-02,44
2007-03,52
2007-04,45
2007-05,52
2007-06,41
2007-07,37
2007-08,42
2007-09,42
2007-10,45
2007-11,47
2007-12,38
2008-01,37
2008-02,42
2008-03,44
2008-04,47
2008-05,37
2008-06,34
2008-07,32
2008-08,28
2008-09,33
2008-10,39
2008-11,39
2008-12,33
2009-01,32
2009-02,42
2009-03,35
2009-04,44
2009-05,38
2009-06,28
2009-07,27
2009-08,28
2009-09,32
2009-10,34
2009-11,37
2009-12,33
2010-01,33
2010-02,38
2010-03,40
2010-04,40
2010-05,36
2010-06,33
2010-07,25
2010-08,26
2010-09,33
2010-10,34
2010-11,35
2010-12,31
2011-01,31
2011-02,36
2011-03,37
2011-04,39
2011-05,36
2011-06,31
2011-07,27
2011-08,36
2011-09,34
2011-10,36
2011-11,38
2011-12,31
2012-01,31
2012-02,34
2012-03,35
2012-04,35
2012-05,36
2012-06,29
2012-07,21
2012-08,24
2012-09,32
2012-10,33
2012-11,33
2012-12,28
2013-01,27
2013-02,29
2013-03,32
2013-04,35
2013-05,35
2013-06,25
2013-07,21
2013-08,22
2013-09,29
2013-10,32
2013-11,29
2013-12,28
2014-01,27
2014-02,30
2014-03,32
2014-04,35
2014-05,32
2014-06,24
2014-07,20
2014-08,22
2014-09,29
2014-10,32
2014-11,33
2014-12,29
2015-01,26
2015-02,31
2015-03,33
2015-04,36
2015-05,34
2015-06,25
2015-07,20
2015-08,23
2015-09,28
2015-10,31
2015-11,30
2015-12,27
2016-01,26
2016-02,31
2016-03,31
2016-04,37
2016-05,37
2016-06,23
2016-07,19
2016-08,20
2016-09,28
2016-10,31
2016-11,33
2016-12,28
2017-01,27
2017-02,32
2017-03,36
2017-04,34
2017-05,34
2017-06,24
2017-07,19
2017-08,19
2017-09,28
2017-10,31
2017-11,32
2017-12,25
2018-01,25
2018-02,29
2018-03,33
2018-04,36
2018-05,37
2018-06,21
2018-07,18
2018-08,19
2018-09,27
2018-10,32
2018-11,29
2018-12,23
2019-01,25
2019-02,30
2019-03,30
2019-04,31
2019-05,30
2019-06,22
2019-07,18
2019-08,20
2019-09,27
2019-10,28
2019-11,31
2019-12,23
2020-01,24
2020-02,30
2020-03,27
2020-04,27
2020-05,26
2020-06,22
2020-07,19
2020-08,18
2020-09,28
2020-10,29
2020-11,31
2020-12,25
2021-01,26
2021-02,30
2021-03,30
2021-04,33
2021-05,27
2021-06,31
2021-07,20
2021-08,16
2021-09,24
2021-10,28
2021-11,29
2021-12,26
2022-01,34
2022-02,37
2022-03,49
2022-04,50
2022-05,46
2022-06,34
2022-07,22
2022-08,24
2022-09,32
2022-10,31
2022-11,35
2022-12,31
2023-01,29
2023-02,35
2023-03,42
2023-04,35
2023-05,40
2023-06,28
2023-07,20
2023-08,20
2023-09,29
2023-10,29
2023-11,36
