Category: All categories

Month,community: (Worldwide)
2004-01,100
2004-02,86
2004-03,90
2004-04,96
2004-05,90
2004-06,87
2004-07,88
2004-08,95
2004-09,88
2004-10,81
2004-11,84
2004-12,76
2005-01,96
2005-02,88
2005-03,88
2005-04,87
2005-05,84
2005-06,83
2005-07,83
2005-08,95
2005-09,80
2005-10,81
2005-11,78
2005-12,74
2006-01,89
2006-02,80
2006-03,77
2006-04,81
2006-05,82
2006-06,80
2006-07,78
2006-08,85
2006-09,72
2006-10,72
2006-11,68
2006-12,64
2007-01,79
2007-02,73
2007-03,79
2007-04,74
2007-05,76
2007-06,71
2007-07,71
2007-08,78
2007-09,68
2007-10,66
2007-11,65
2007-12,61
2008-01,73
2008-02,68
2008-03,66
2008-04,71
2008-05,66
2008-06,64
2008-07,64
2008-08,70
2008-09,71
2008-10,65
2008-11,61
2008-12,62
2009-01,69
2009-02,67
2009-03,67
2009-04,70
2009-05,68
2009-06,63
2009-07,64
2009-08,70
2009-09,63
2009-10,63
2009-11,61
2009-12,55
2010-01,73
2010-02,63
2010-03,65
2010-04,62
2010-05,61
2010-06,60
2010-07,59
2010-08,63
2010-09,62
2010-10,58
2010-11,57
2010-12,55
2011-01,66
2011-02,58
2011-03,58
2011-04,59
2011-05,57
2011-06,54
2011-07,59
2011-08,64
2011-09,59
2011-10,56
2011-11,59
2011-12,51
2012-01,58
2012-02,54
2012-03,57
2012-04,55
2012-05,56
2012-06,54
2012-07,51
2012-08,58
2012-09,54
2012-10,55
2012-11,51
2012-12,45
2013-01,56
2013-02,55
2013-03,55
2013-04,53
2013-05,53
2013-06,46
2013-07,51
2013-08,52
2013-09,52
2013-10,48
2013-11,46
2013-12,44
2014-01,56
2014-02,48
2014-03,47
2014-04,49
2014-05,49
2014-06,43
2014-07,44
2014-08,52
2014-09,49
2014-10,46
2014-11,43
2014-12,39
2015-01,49
2015-02,43
2015-03,47
2015-04,47
2015-05,44
2015-06,43
2015-07,44
2015-08,47
2015-09,45
2015-10,45
2015-11,39
2015-12,38
2016-01,44
2016-02,43
2016-03,41
2016-04,42
2016-05,40
2016-06,40
2016-07,38
2016-08,45
2016-09,41
2016-10,39
2016-11,38
2016-12,33
2017-01,41
2017-02,41
2017-03,43
2017-04,39
2017-05,41
2017-06,39
2017-07,39
2017-08,42
2017-09,40
2017-10,40
2017-11,38
2017-12,35
2018-01,41
2018-02,42
2018-03,41
2018-04,40
2018-05,41
2018-06,37
2018-07,36
2018-08,42
2018-09,38
2018-10,38
2018-11,38
2018-12,33
2019-01,41
2019-02,40
2019-03,37
2019-04,40
2019-05,39
2019-06,37
2019-07,39
2019-08,43
2019-09,41
2019-10,38
2019-11,36
2019-12,33
2020-01,38
2020-02,39
2020-03,36
2020-04,38
2020-05,37
2020-06,36
2020-07,36
2020-08,38
2020-09,38
2020-10,37
2020-11,29
2020-12,29
2021-01,34
2021-02,32
2021-03,35
2021-04,35
2021-05,33
2021-06,34
2021-07,34
2021-08,37
2021-09,36
2021-10,35
2021-11,35
2021-12,33
2022-01,39
2022-02,39
2022-03,40
2022-04,40
2022-05,38
2022-06,39
2022-07,38
2022-08,41
2022-09,40
2022-10,39
2022-11,38
2022-12,33
2023-01,40
2023-02,40
2023-03,40
2023-04,39
2023-05,39
2023-06,39
2023-07,38
2023-08,43
2023-09,39
2023-10,39
2023-11,40
