Category: All categories

Month,non profits: (Worldwide)
2004-01,99
2004-02,86
2004-03,83
2004-04,91
2004-05,86
2004-06,100
2004-07,93
2004-08,86
2004-09,71
2004-10,75
2004-11,86
2004-12,70
2005-01,91
2005-02,75
2005-03,69
2005-04,70
2005-05,71
2005-06,74
2005-07,75
2005-08,96
2005-09,71
2005-10,83
2005-11,62
2005-12,54
2006-01,77
2006-02,75
2006-03,79
2006-04,70
2006-05,74
2006-06,86
2006-07,57
2006-08,75
2006-09,67
2006-10,76
2006-11,65
2006-12,58
2007-01,70
2007-02,72
2007-03,77
2007-04,69
2007-05,64
2007-06,57
2007-07,67
2007-08,71
2007-09,67
2007-10,71
2007-11,66
2007-12,57
2008-01,78
2008-02,73
2008-03,72
2008-04,78
2008-05,67
2008-06,70
2008-07,76
2008-08,80
2008-09,78
2008-10,75
2008-11,72
2008-12,78
2009-01,90
2009-02,90
2009-03,88
2009-04,89
2009-05,83
2009-06,82
2009-07,81
2009-08,85
2009-09,91
2009-10,90
2009-11,81
2009-12,68
2010-01,83
2010-02,90
2010-03,77
2010-04,78
2010-05,66
2010-06,69
2010-07,62
2010-08,61
2010-09,55
2010-10,62
2010-11,63
2010-12,49
2011-01,63
2011-02,64
2011-03,64
2011-04,59
2011-05,57
2011-06,61
2011-07,51
2011-08,55
2011-09,59
2011-10,59
2011-11,59
2011-12,49
2012-01,58
2012-02,60
2012-03,54
2012-04,48
2012-05,46
2012-06,44
2012-07,45
2012-08,44
2012-09,45
2012-10,47
2012-11,44
2012-12,35
2013-01,43
2013-02,47
2013-03,42
2013-04,44
2013-05,41
2013-06,40
2013-07,42
2013-08,42
2013-09,44
2013-10,44
2013-11,43
2013-12,37
2014-01,45
2014-02,47
2014-03,42
2014-04,43
2014-05,38
2014-06,39
2014-07,40
2014-08,38
2014-09,44
2014-10,42
2014-11,38
2014-12,35
2015-01,40
2015-02,41
2015-03,43
2015-04,43
2015-05,36
2015-06,37
2015-07,38
2015-08,36
2015-09,42
2015-10,41
2015-11,40
2015-12,34
2016-01,41
2016-02,44
2016-03,42
2016-04,42
2016-05,37
2016-06,36
2016-07,35
2016-08,38
2016-09,43
2016-10,41
2016-11,43
2016-12,35
2017-01,44
2017-02,49
2017-03,46
2017-04,42
2017-05,37
2017-06,38
2017-07,33
2017-08,37
2017-09,41
2017-10,41
2017-11,40
2017-12,33
2018-01,39
2018-02,43
2018-03,40
2018-04,39
2018-05,39
2018-06,34
2018-07,35
2018-08,35
2018-09,37
2018-10,38
2018-11,35
2018-12,30
2019-01,38
2019-02,39
2019-03,35
2019-04,38
2019-05,31
2019-06,32
2019-07,31
2019-08,33
2019-09,37
2019-10,37
2019-11,33
2019-12,29
2020-01,35
2020-02,34
2020-03,39
2020-04,40
2020-05,31
2020-06,37
2020-07,34
2020-08,31
2020-09,34
2020-10,30
2020-11,27
2020-12,28
2021-01,28
2021-02,28
2021-03,31
2021-04,29
2021-05,26
2021-06,26
2021-07,26
2021-08,27
2021-09,30
2021-10,30
2021-11,32
2021-12,27
2022-01,35
2022-02,39
2022-03,39
2022-04,43
2022-05,37
2022-06,37
2022-07,35
2022-08,38
2022-09,41
2022-10,38
2022-11,39
2022-12,36
2023-01,44
2023-02,46
2023-03,43
2023-04,41
2023-05,39
2023-06,39
2023-07,40
2023-08,43
2023-09,45
2023-10,46
2023-11,48
