Category: All categories

Month,non-governmental organizations: (Worldwide)
2004-01,100
2004-02,75
2004-03,67
2004-04,49
2004-05,49
2004-06,31
2004-07,47
2004-08,43
2004-09,56
2004-10,36
2004-11,68
2004-12,26
2005-01,16
2005-02,0
2005-03,44
2005-04,36
2005-05,57
2005-06,42
2005-07,38
2005-08,17
2005-09,29
2005-10,43
2005-11,38
2005-12,28
2006-01,27
2006-02,36
2006-03,33
2006-04,33
2006-05,31
2006-06,10
2006-07,16
2006-08,15
2006-09,30
2006-10,37
2006-11,19
2006-12,11
2007-01,19
2007-02,11
2007-03,10
2007-04,27
2007-05,13
2007-06,18
2007-07,13
2007-08,5
2007-09,14
2007-10,23
2007-11,17
2007-12,10
2008-01,17
2008-02,17
2008-03,21
2008-04,23
2008-05,13
2008-06,17
2008-07,12
2008-08,0
2008-09,17
2008-10,14
2008-11,21
2008-12,15
2009-01,18
2009-02,13
2009-03,14
2009-04,16
2009-05,21
2009-06,12
2009-07,11
2009-08,14
2009-09,13
2009-10,17
2009-11,16
2009-12,16
2010-01,18
2010-02,12
2010-03,18
2010-04,15
2010-05,13
2010-06,14
2010-07,10
2010-08,11
2010-09,10
2010-10,14
2010-11,15
2010-12,6
2011-01,15
2011-02,11
2011-03,16
2011-04,12
2011-05,12
2011-06,10
2011-07,7
2011-08,15
2011-09,11
2011-10,14
2011-11,16
2011-12,9
2012-01,10
2012-02,12
2012-03,11
2012-04,15
2012-05,29
2012-06,18
2012-07,13
2012-08,11
2012-09,11
2012-10,14
2012-11,11
2012-12,12
2013-01,13
2013-02,12
2013-03,13
2013-04,10
2013-05,13
2013-06,11
2013-07,8
2013-08,10
2013-09,9
2013-10,9
2013-11,12
2013-12,8
2014-01,7
2014-02,10
2014-03,11
2014-04,12
2014-05,8
2014-06,7
2014-07,6
2014-08,12
2014-09,10
2014-10,7
2014-11,9
2014-12,6
2015-01,10
2015-02,9
2015-03,9
2015-04,11
2015-05,9
2015-06,6
2015-07,7
2015-08,9
2015-09,7
2015-10,9
2015-11,8
2015-12,7
2016-01,7
2016-02,7
2016-03,10
2016-04,10
2016-05,9
2016-06,8
2016-07,5
2016-08,5
2016-09,8
2016-10,8
2016-11,8
2016-12,6
2017-01,8
2017-02,12
2017-03,9
2017-04,10
2017-05,8
2017-06,7
2017-07,3
2017-08,4
2017-09,8
2017-10,8
2017-11,9
2017-12,7
2018-01,9
2018-02,8
2018-03,8
2018-04,7
2018-05,7
2018-06,4
2018-07,6
2018-08,5
2018-09,5
2018-10,7
2018-11,7
2018-12,6
2019-01,5
2019-02,6
2019-03,6
2019-04,8
2019-05,5
2019-06,5
2019-07,5
2019-08,5
2019-09,6
2019-10,7
2019-11,5
2019-12,6
2020-01,5
2020-02,7
2020-03,6
2020-04,7
2020-05,8
2020-06,7
2020-07,7
2020-08,6
2020-09,9
2020-10,8
2020-11,6
2020-12,3
2021-01,6
2021-02,8
2021-03,6
2021-04,7
2021-05,8
2021-06,6
2021-07,4
2021-08,4
2021-09,6
2021-10,8
2021-11,9
2021-12,7
2022-01,9
2022-02,12
2022-03,14
2022-04,11
2022-05,14
2022-06,11
2022-07,5
2022-08,26
2022-09,24
2022-10,12
2022-11,13
2022-12,9
2023-01,8
2023-02,13
2023-03,14
2023-04,13
2023-05,11
2023-06,8
2023-07,6
2023-08,7
2023-09,9
2023-10,8
2023-11,9
