Category: All categories

Month,plural sector: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,100
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,51
2006-01,40
2006-02,0
2006-03,56
2006-04,0
2006-05,0
2006-06,0
2006-07,72
2006-08,97
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,49
2007-07,0
2007-08,25
2007-09,0
2007-10,0
2007-11,48
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,35
2008-06,0
2008-07,18
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,11
2009-02,0
2009-03,0
2009-04,25
2009-05,27
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,28
2010-04,13
2010-05,16
2010-06,0
2010-07,0
2010-08,0
2010-09,17
2010-10,0
2010-11,0
2010-12,16
2011-01,0
2011-02,0
2011-03,6
2011-04,0
2011-05,0
2011-06,21
2011-07,0
2011-08,8
2011-09,0
2011-10,0
2011-11,0
2011-12,7
2012-01,0
2012-02,19
2012-03,0
2012-04,10
2012-05,0
2012-06,6
2012-07,0
2012-08,13
2012-09,6
2012-10,9
2012-11,7
2012-12,14
2013-01,9
2013-02,5
2013-03,4
2013-04,15
2013-05,9
2013-06,13
2013-07,11
2013-08,5
2013-09,0
2013-10,7
2013-11,6
2013-12,4
2014-01,14
2014-02,16
2014-03,21
2014-04,0
2014-05,14
2014-06,4
2014-07,5
2014-08,0
2014-09,22
2014-10,6
2014-11,10
2014-12,3
2015-01,9
2015-02,10
2015-03,4
2015-04,8
2015-05,4
2015-06,12
2015-07,7
2015-08,6
2015-09,10
2015-10,5
2015-11,9
2015-12,6
2016-01,8
2016-02,10
2016-03,17
2016-04,9
2016-05,6
2016-06,20
2016-07,4
2016-08,10
2016-09,8
2016-10,9
2016-11,17
2016-12,11
2017-01,7
2017-02,6
2017-03,13
2017-04,7
2017-05,8
2017-06,8
2017-07,6
2017-08,14
2017-09,10
2017-10,8
2017-11,6
2017-12,19
2018-01,6
2018-02,6
2018-03,3
2018-04,13
2018-05,16
2018-06,7
2018-07,8
2018-08,8
2018-09,12
2018-10,0
2018-11,0
2018-12,10
2019-01,16
2019-02,10
2019-03,0
2019-04,6
2019-05,0
2019-06,0
2019-07,0
2019-08,7
2019-09,12
2019-10,6
2019-11,8
2019-12,7
2020-01,0
2020-02,8
2020-03,5
2020-04,12
2020-05,5
2020-06,8
2020-07,14
2020-08,12
2020-09,0
2020-10,7
2020-11,14
2020-12,9
2021-01,8
2021-02,9
2021-03,11
2021-04,16
2021-05,13
2021-06,15
2021-07,14
2021-08,4
2021-09,24
2021-10,15
2021-11,13
2021-12,6
2022-01,9
2022-02,19
2022-03,9
2022-04,10
2022-05,13
2022-06,5
2022-07,20
2022-08,17
2022-09,18
2022-10,15
2022-11,12
2022-12,11
2023-01,14
2023-02,16
2023-03,20
2023-04,13
2023-05,17
2023-06,5
2023-07,11
2023-08,16
2023-09,11
2023-10,8
2023-11,7
