Category: All categories

Month,social sector: (Worldwide)
2004-01,74
2004-02,78
2004-03,94
2004-04,93
2004-05,68
2004-06,76
2004-07,62
2004-08,67
2004-09,66
2004-10,76
2004-11,80
2004-12,43
2005-01,47
2005-02,80
2005-03,56
2005-04,74
2005-05,82
2005-06,56
2005-07,57
2005-08,39
2005-09,73
2005-10,64
2005-11,62
2005-12,38
2006-01,55
2006-02,65
2006-03,59
2006-04,55
2006-05,50
2006-06,53
2006-07,37
2006-08,40
2006-09,65
2006-10,54
2006-11,63
2006-12,35
2007-01,40
2007-02,46
2007-03,42
2007-04,50
2007-05,62
2007-06,47
2007-07,45
2007-08,47
2007-09,55
2007-10,61
2007-11,58
2007-12,39
2008-01,46
2008-02,56
2008-03,48
2008-04,54
2008-05,56
2008-06,48
2008-07,42
2008-08,44
2008-09,45
2008-10,49
2008-11,49
2008-12,40
2009-01,39
2009-02,54
2009-03,52
2009-04,52
2009-05,56
2009-06,42
2009-07,44
2009-08,42
2009-09,60
2009-10,55
2009-11,53
2009-12,43
2010-01,38
2010-02,55
2010-03,56
2010-04,53
2010-05,51
2010-06,50
2010-07,42
2010-08,36
2010-09,52
2010-10,56
2010-11,49
2010-12,35
2011-01,44
2011-02,51
2011-03,60
2011-04,51
2011-05,54
2011-06,43
2011-07,41
2011-08,42
2011-09,48
2011-10,50
2011-11,52
2011-12,35
2012-01,41
2012-02,47
2012-03,47
2012-04,47
2012-05,48
2012-06,39
2012-07,38
2012-08,39
2012-09,49
2012-10,46
2012-11,44
2012-12,35
2013-01,39
2013-02,46
2013-03,47
2013-04,48
2013-05,51
2013-06,39
2013-07,37
2013-08,38
2013-09,44
2013-10,52
2013-11,51
2013-12,33
2014-01,39
2014-02,50
2014-03,49
2014-04,45
2014-05,48
2014-06,42
2014-07,40
2014-08,36
2014-09,51
2014-10,50
2014-11,52
2014-12,34
2015-01,37
2015-02,49
2015-03,49
2015-04,48
2015-05,48
2015-06,43
2015-07,34
2015-08,34
2015-09,51
2015-10,50
2015-11,48
2015-12,35
2016-01,36
2016-02,48
2016-03,48
2016-04,48
2016-05,48
2016-06,45
2016-07,37
2016-08,37
2016-09,45
2016-10,45
2016-11,47
2016-12,31
2017-01,35
2017-02,46
2017-03,50
2017-04,45
2017-05,44
2017-06,37
2017-07,33
2017-08,35
2017-09,45
2017-10,48
2017-11,45
2017-12,31
2018-01,38
2018-02,49
2018-03,46
2018-04,51
2018-05,49
2018-06,40
2018-07,38
2018-08,41
2018-09,48
2018-10,46
2018-11,44
2018-12,28
2019-01,35
2019-02,44
2019-03,45
2019-04,41
2019-05,41
2019-06,42
2019-07,35
2019-08,40
2019-09,46
2019-10,52
2019-11,44
2019-12,32
2020-01,38
2020-02,48
2020-03,47
2020-04,55
2020-05,61
2020-06,51
2020-07,45
2020-08,48
2020-09,66
2020-10,68
2020-11,62
2020-12,54
2021-01,44
2021-02,55
2021-03,63
2021-04,67
2021-05,62
2021-06,60
2021-07,47
2021-08,49
2021-09,63
2021-10,64
2021-11,66
2021-12,47
2022-01,63
2022-02,100
2022-03,94
2022-04,81
2022-05,79
2022-06,64
2022-07,52
2022-08,56
2022-09,79
2022-10,70
2022-11,75
2022-12,58
2023-01,60
2023-02,75
2023-03,82
2023-04,66
2023-05,74
2023-06,59
2023-07,49
2023-08,55
2023-09,63
2023-10,64
2023-11,61
