Category: All categories

Month,third pillar: (Worldwide)
2004-01,0
2004-02,58
2004-03,0
2004-04,80
2004-05,60
2004-06,55
2004-07,67
2004-08,55
2004-09,64
2004-10,96
2004-11,60
2004-12,33
2005-01,64
2005-02,71
2005-03,71
2005-04,55
2005-05,100
2005-06,0
2005-07,0
2005-08,28
2005-09,33
2005-10,84
2005-11,0
2005-12,73
2006-01,0
2006-02,20
2006-03,97
2006-04,32
2006-05,17
2006-06,52
2006-07,0
2006-08,40
2006-09,30
2006-10,46
2006-11,24
2006-12,72
2007-01,72
2007-02,50
2007-03,48
2007-04,66
2007-05,38
2007-06,29
2007-07,40
2007-08,26
2007-09,27
2007-10,25
2007-11,41
2007-12,43
2008-01,17
2008-02,32
2008-03,80
2008-04,27
2008-05,38
2008-06,31
2008-07,30
2008-08,25
2008-09,29
2008-10,33
2008-11,33
2008-12,29
2009-01,24
2009-02,26
2009-03,21
2009-04,25
2009-05,18
2009-06,23
2009-07,36
2009-08,29
2009-09,27
2009-10,18
2009-11,43
2009-12,30
2010-01,33
2010-02,31
2010-03,28
2010-04,21
2010-05,27
2010-06,18
2010-07,28
2010-08,23
2010-09,36
2010-10,25
2010-11,27
2010-12,10
2011-01,28
2011-02,16
2011-03,21
2011-04,16
2011-05,16
2011-06,20
2011-07,18
2011-08,14
2011-09,28
2011-10,27
2011-11,23
2011-12,26
2012-01,20
2012-02,17
2012-03,24
2012-04,20
2012-05,17
2012-06,19
2012-07,15
2012-08,24
2012-09,23
2012-10,23
2012-11,18
2012-12,24
2013-01,21
2013-02,18
2013-03,22
2013-04,21
2013-05,25
2013-06,17
2013-07,14
2013-08,17
2013-09,23
2013-10,23
2013-11,19
2013-12,19
2014-01,20
2014-02,11
2014-03,12
2014-04,15
2014-05,16
2014-06,15
2014-07,15
2014-08,12
2014-09,25
2014-10,18
2014-11,20
2014-12,21
2015-01,56
2015-02,27
2015-03,18
2015-04,18
2015-05,20
2015-06,14
2015-07,13
2015-08,16
2015-09,17
2015-10,22
2015-11,23
2015-12,18
2016-01,13
2016-02,15
2016-03,16
2016-04,19
2016-05,22
2016-06,18
2016-07,18
2016-08,18
2016-09,14
2016-10,21
2016-11,21
2016-12,14
2017-01,15
2017-02,16
2017-03,20
2017-04,18
2017-05,24
2017-06,14
2017-07,16
2017-08,12
2017-09,19
2017-10,24
2017-11,25
2017-12,20
2018-01,9
2018-02,18
2018-03,22
2018-04,23
2018-05,11
2018-06,10
2018-07,14
2018-08,13
2018-09,17
2018-10,17
2018-11,19
2018-12,17
2019-01,20
2019-02,52
2019-03,77
2019-04,45
2019-05,59
2019-06,29
2019-07,36
2019-08,36
2019-09,78
2019-10,32
2019-11,34
2019-12,33
2020-01,69
2020-02,27
2020-03,28
2020-04,28
2020-05,31
2020-06,26
2020-07,23
2020-08,23
2020-09,32
2020-10,33
2020-11,31
2020-12,39
2021-01,28
2021-02,29
2021-03,25
2021-04,22
2021-05,27
2021-06,25
2021-07,29
2021-08,28
2021-09,27
2021-10,25
2021-11,23
2021-12,23
2022-01,34
2022-02,34
2022-03,47
2022-04,34
2022-05,34
2022-06,36
2022-07,22
2022-08,22
2022-09,32
2022-10,35
2022-11,37
2022-12,32
2023-01,36
2023-02,38
2023-03,27
2023-04,28
2023-05,31
2023-06,25
2023-07,24
2023-08,25
2023-09,28
2023-10,40
2023-11,33
