Category: All categories

Month,third sector: (Worldwide)
2004-01,47
2004-02,32
2004-03,56
2004-04,71
2004-05,26
2004-06,50
2004-07,56
2004-08,43
2004-09,63
2004-10,44
2004-11,48
2004-12,43
2005-01,44
2005-02,41
2005-03,61
2005-04,49
2005-05,39
2005-06,43
2005-07,48
2005-08,35
2005-09,54
2005-10,50
2005-11,38
2005-12,41
2006-01,37
2006-02,46
2006-03,33
2006-04,43
2006-05,56
2006-06,53
2006-07,71
2006-08,38
2006-09,57
2006-10,57
2006-11,59
2006-12,38
2007-01,66
2007-02,70
2007-03,65
2007-04,76
2007-05,76
2007-06,67
2007-07,89
2007-08,74
2007-09,74
2007-10,84
2007-11,85
2007-12,51
2008-01,78
2008-02,89
2008-03,68
2008-04,78
2008-05,78
2008-06,94
2008-07,86
2008-08,76
2008-09,88
2008-10,90
2008-11,91
2008-12,60
2009-01,91
2009-02,96
2009-03,92
2009-04,87
2009-05,84
2009-06,95
2009-07,98
2009-08,82
2009-09,88
2009-10,88
2009-11,92
2009-12,57
2010-01,79
2010-02,82
2010-03,100
2010-04,85
2010-05,97
2010-06,90
2010-07,91
2010-08,81
2010-09,81
2010-10,84
2010-11,81
2010-12,55
2011-01,84
2011-02,78
2011-03,86
2011-04,68
2011-05,83
2011-06,76
2011-07,72
2011-08,66
2011-09,69
2011-10,69
2011-11,66
2011-12,46
2012-01,66
2012-02,64
2012-03,59
2012-04,61
2012-05,63
2012-06,54
2012-07,57
2012-08,53
2012-09,58
2012-10,60
2012-11,53
2012-12,38
2013-01,58
2013-02,57
2013-03,53
2013-04,57
2013-05,54
2013-06,48
2013-07,51
2013-08,47
2013-09,53
2013-10,55
2013-11,48
2013-12,37
2014-01,51
2014-02,51
2014-03,51
2014-04,44
2014-05,46
2014-06,48
2014-07,47
2014-08,42
2014-09,47
2014-10,51
2014-11,46
2014-12,33
2015-01,41
2015-02,50
2015-03,44
2015-04,45
2015-05,39
2015-06,44
2015-07,41
2015-08,37
2015-09,40
2015-10,38
2015-11,39
2015-12,31
2016-01,38
2016-02,39
2016-03,36
2016-04,38
2016-05,34
2016-06,32
2016-07,30
2016-08,31
2016-09,32
2016-10,31
2016-11,33
2016-12,24
2017-01,32
2017-02,34
2017-03,35
2017-04,29
2017-05,31
2017-06,30
2017-07,30
2017-08,25
2017-09,30
2017-10,31
2017-11,31
2017-12,21
2018-01,31
2018-02,30
2018-03,27
2018-04,28
2018-05,29
2018-06,25
2018-07,24
2018-08,23
2018-09,29
2018-10,28
2018-11,23
2018-12,19
2019-01,28
2019-02,28
2019-03,25
2019-04,24
2019-05,25
2019-06,22
2019-07,22
2019-08,24
2019-09,27
2019-10,27
2019-11,23
2019-12,20
2020-01,26
2020-02,25
2020-03,21
2020-04,20
2020-05,23
2020-06,22
2020-07,23
2020-08,22
2020-09,28
2020-10,26
2020-11,21
2020-12,18
2021-01,22
2021-02,21
2021-03,23
2021-04,20
2021-05,20
2021-06,20
2021-07,19
2021-08,18
2021-09,26
2021-10,22
2021-11,24
2021-12,14
2022-01,24
2022-02,27
2022-03,27
2022-04,25
2022-05,23
2022-06,21
2022-07,19
2022-08,20
2022-09,25
2022-10,24
2022-11,23
2022-12,19
2023-01,22
2023-02,29
2023-03,25
2023-04,19
2023-05,22
2023-06,20
2023-07,20
2023-08,19
2023-09,24
2023-10,20
2023-11,21
