Category: All categories

Month,voluntary: (Worldwide)
2004-01,96
2004-02,90
2004-03,100
2004-04,90
2004-05,90
2004-06,90
2004-07,81
2004-08,78
2004-09,91
2004-10,90
2004-11,91
2004-12,66
2005-01,90
2005-02,91
2005-03,90
2005-04,86
2005-05,81
2005-06,76
2005-07,73
2005-08,72
2005-09,78
2005-10,81
2005-11,79
2005-12,58
2006-01,78
2006-02,73
2006-03,77
2006-04,70
2006-05,76
2006-06,71
2006-07,66
2006-08,60
2006-09,67
2006-10,68
2006-11,65
2006-12,51
2007-01,65
2007-02,67
2007-03,66
2007-04,61
2007-05,61
2007-06,58
2007-07,59
2007-08,55
2007-09,61
2007-10,62
2007-11,61
2007-12,46
2008-01,57
2008-02,61
2008-03,50
2008-04,56
2008-05,52
2008-06,54
2008-07,56
2008-08,46
2008-09,51
2008-10,56
2008-11,57
2008-12,48
2009-01,54
2009-02,58
2009-03,59
2009-04,55
2009-05,49
2009-06,50
2009-07,48
2009-08,46
2009-09,52
2009-10,58
2009-11,53
2009-12,36
2010-01,50
2010-02,51
2010-03,57
2010-04,50
2010-05,47
2010-06,47
2010-07,46
2010-08,40
2010-09,47
2010-10,45
2010-11,50
2010-12,33
2011-01,47
2011-02,49
2011-03,52
2011-04,48
2011-05,45
2011-06,45
2011-07,40
2011-08,39
2011-09,45
2011-10,45
2011-11,45
2011-12,33
2012-01,42
2012-02,44
2012-03,43
2012-04,41
2012-05,43
2012-06,39
2012-07,36
2012-08,38
2012-09,43
2012-10,46
2012-11,43
2012-12,30
2013-01,41
2013-02,42
2013-03,42
2013-04,44
2013-05,42
2013-06,38
2013-07,36
2013-08,35
2013-09,41
2013-10,42
2013-11,40
2013-12,34
2014-01,42
2014-02,44
2014-03,45
2014-04,40
2014-05,40
2014-06,37
2014-07,34
2014-08,35
2014-09,42
2014-10,43
2014-11,42
2014-12,35
2015-01,41
2015-02,46
2015-03,47
2015-04,42
2015-05,42
2015-06,38
2015-07,38
2015-08,35
2015-09,55
2015-10,47
2015-11,46
2015-12,36
2016-01,38
2016-02,43
2016-03,42
2016-04,43
2016-05,40
2016-06,37
2016-07,32
2016-08,33
2016-09,43
2016-10,43
2016-11,43
2016-12,33
2017-01,39
2017-02,43
2017-03,48
2017-04,41
2017-05,41
2017-06,39
2017-07,36
2017-08,35
2017-09,42
2017-10,44
2017-11,43
2017-12,36
2018-01,39
2018-02,43
2018-03,40
2018-04,42
2018-05,40
2018-06,35
2018-07,33
2018-08,37
2018-09,42
2018-10,43
2018-11,43
2018-12,34
2019-01,39
2019-02,41
2019-03,40
2019-04,40
2019-05,37
2019-06,41
2019-07,37
2019-08,36
2019-09,42
2019-10,45
2019-11,43
2019-12,34
2020-01,40
2020-02,43
2020-03,49
2020-04,51
2020-05,46
2020-06,45
2020-07,41
2020-08,38
2020-09,52
2020-10,48
2020-11,44
2020-12,38
2021-01,44
2021-02,44
2021-03,45
2021-04,42
2021-05,42
2021-06,40
2021-07,35
2021-08,34
2021-09,43
2021-10,44
2021-11,46
2021-12,38
2022-01,47
2022-02,54
2022-03,59
2022-04,53
2022-05,48
2022-06,41
2022-07,37
2022-08,42
2022-09,54
2022-10,51
2022-11,55
2022-12,42
2023-01,51
2023-02,56
2023-03,53
2023-04,47
2023-05,47
2023-06,42
2023-07,41
2023-08,38
2023-09,48
2023-10,50
2023-11,54
